i_state_x,area_name,less_than_a_high_school_diploma_2014_18,high_school_diploma_only_2014_18,some_college_or_associate_s_degree_2014_18,bachelor_s_degree_or_higher_2014_18,percent_of_adults_with_less_than_a_high_school_diploma_2014_18,percent_of_adults_with_a_high_school_diploma_only_2014_18,percent_of_adults_completing_some_college_or_associate_s_degree_2014_18,percent_of_adults_with_a_bachelor_s_degree_or_higher_2014_18,i_state_y,povall_2018,ci90lb_all_2018,ci90uball_2018,pctpovall_2018,ci90lballp_2018,ci90uballp_2018,pov017_2018,ci90lb017_2018,ci90ub017_2018,pctpov017_2018,ci90lb017p_2018,ci90ub017p_2018,pov517_2018,ci90lb517_2018,ci90ub517_2018,pctpov517_2018,ci90lb517p_2018,ci90ub517p_2018,medhhinc_2018,ci90lbinc_2018,ci90ubinc_2018,i_state,civilian_labor_force_2018,employed_2018,unemployed_2018,unemployment_rate_2018,median_household_income_2018,med_hh_income_percent_of_state_total_2018
AL,Monroe County,"2,409","6,805","3,464","2,078",16.3,46.1,23.5,14.1,AL,"4,560","3,497","5,623",21.9,16.8,27,"1,416","1,016","1,816",31.6,22.7,40.5,"1,019",705,"1,333",30.1,20.8,39.4,"39,556","35,396","43,716",AL,"7,187","6,753",434,6,"39,556",79.3
AL,Montgomery County,"21,646","38,289","41,976","48,131",14.4,25.5,28,32.1,AL,"43,567","38,512","48,622",20.1,17.8,22.4,"16,182","13,654","18,710",31.3,26.4,36.2,"11,756","9,685","13,827",31.9,26.3,37.5,"49,640","47,820","51,460",AL,"105,953","101,782","4,171",3.9,"49,640",99.5
AL,Morgan County,"13,706","24,350","26,356","17,849",16.7,29.6,32,21.7,AL,"15,419","12,500","18,338",13.2,10.7,15.7,"5,355","4,051","6,659",20.1,15.2,25,"3,654","2,710","4,598",18.5,13.7,23.3,"52,797","49,692","55,902",AL,"57,158","55,192","1,966",3.4,"52,797",105.8
AL,Perry County,"1,275","2,293","1,334",913,21.9,39.4,22.9,15.7,AL,"2,943","2,239","3,647",35.3,26.9,43.7,"1,010",738,"1,282",52.8,38.6,67,707,487,927,49.7,34.2,65.2,"26,814","24,245","29,383",AL,"3,411","3,192",219,6.4,"26,814",53.8
AL,Pickens County,"2,829","5,352","4,425","1,959",19.4,36.7,30.4,13.5,AL,"4,177","3,204","5,150",23.1,17.7,28.5,"1,183",855,"1,511",30.8,22.3,39.3,841,580,"1,102",29.9,20.6,39.2,"37,586","33,665","41,507",AL,"7,745","7,395",350,4.5,"37,586",75.4
AL,Pike County,"3,660","6,405","4,657","4,536",19,33.3,24.2,23.6,AL,"7,315","5,934","8,696",23.6,19.2,28,"1,900","1,425","2,375",30.6,22.9,38.3,"1,312",943,"1,681",29.5,21.2,37.8,"37,259","33,401","41,117",AL,"15,260","14,579",681,4.5,"37,259",74.7
AL,Randolph County,"3,340","5,719","4,329","2,350",21.2,36.3,27.5,14.9,AL,"4,375","3,509","5,241",19.7,15.8,23.6,"1,504","1,158","1,850",31.4,24.2,38.6,"1,004",725,"1,283",28.7,20.7,36.7,"40,546","36,254","44,838",AL,"9,581","9,202",379,4,"40,546",81.3
AL,Russell County,"6,495","12,583","13,434","6,438",16.7,32.3,34.5,16.5,AL,"12,384","10,327","14,441",21.7,18.1,25.3,"4,340","3,331","5,349",31.6,24.2,39,"3,189","2,406","3,972",32.6,24.6,40.6,"39,104","35,751","42,457",AL,"24,019","23,067",952,4,"39,104",78.4
AL,St. Clair County,"9,255","21,865","19,587","9,991",15.2,36,32.3,16.5,AL,"10,432","8,540","12,324",12,9.8,14.2,"2,957","2,123","3,791",15,10.8,19.2,"2,041","1,380","2,702",14,9.5,18.5,"57,284","52,831","61,737",AL,"40,120","38,742","1,378",3.4,"57,284",114.8
AL,Shelby County,"11,258","29,106","42,634","60,424",7.8,20.3,29.7,42.1,AL,"16,916","14,506","19,326",8,6.9,9.1,"4,444","3,374","5,514",8.9,6.8,11,"3,069","2,243","3,895",8.2,6,10.4,"75,663","69,887","81,439",AL,"114,634","111,425","3,209",2.8,"75,663",151.7
AL,Sumter County,"1,238","2,969","1,936","1,715",15.8,37.8,24.6,21.8,AL,"4,076","3,223","4,929",34.7,27.4,42,"1,140",867,"1,413",48.1,36.6,59.6,883,670,"1,096",53.2,40.4,66,"27,859","24,843","30,875",AL,"4,820","4,543",277,5.7,"27,859",55.9
AL,Talladega County,"10,671","19,607","17,827","8,017",19,34.9,31.8,14.3,AL,"14,825","12,502","17,148",19.3,16.3,22.3,"4,301","3,374","5,228",26.4,20.7,32.1,"2,918","2,191","3,645",24.1,18.1,30.1,"41,630","38,789","44,471",AL,"35,332","33,847","1,485",4.2,"41,630",83.5
AL,Tallapoosa County,"5,581","9,402","8,355","5,244",19.5,32.9,29.2,18.3,AL,"7,839","6,675","9,003",19.7,16.8,22.6,"2,525","2,017","3,033",30.7,24.5,36.9,"2,024","1,633","2,415",33.6,27.1,40.1,"42,205","38,276","46,134",AL,"17,959","17,226",733,4.1,"42,205",84.6
AL,Tuscaloosa County,"14,748","38,097","36,040","38,669",11.6,29.9,28.3,30.3,AL,"33,330","28,795","37,865",16.8,14.5,19.1,"8,956","7,012","10,900",20.9,16.4,25.4,"6,103","4,586","7,620",19.9,14.9,24.9,"52,557","49,017","56,097",AL,"102,508","98,826","3,682",3.6,"52,557",105.4
