State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
MT,"Blaine County, MT","2,292","2,197",95,4.1,"39,237",71.0
MT,"Broadwater County, MT","2,622","2,520",102,3.9,"52,840",95.6
MT,"Carbon County, MT","5,471","5,282",189,3.5,"53,661",97.1
MT,"Carter County, MT",666,649,17,2.6,"47,985",86.9
MT,"Cascade County, MT","37,781","36,453","1,328",3.5,"50,054",90.6
MT,"Chouteau County, MT","2,472","2,399",73,3.0,"44,645",80.8
MT,"Custer County, MT","6,067","5,884",183,3.0,"50,525",91.5
MT,"Daniels County, MT",882,864,18,2.0,"44,659",80.8
MT,"Dawson County, MT","4,627","4,506",121,2.6,"56,167",101.7
MT,"Deer Lodge County, MT","5,124","4,945",179,3.5,"45,641",82.6
MT,"Fallon County, MT","1,694","1,664",30,1.8,"62,029",112.3
MT,"Fergus County, MT","5,804","5,596",208,3.6,"49,147",89.0
MT,"Flathead County, MT","47,769","45,514","2,255",4.7,"54,382",98.4
MT,"Gallatin County, MT","66,809","65,149","1,660",2.5,"67,569",122.3
MT,"Garfield County, MT",736,716,20,2.7,"44,580",80.7
MT,"Glacier County, MT","5,700","5,264",436,7.6,"37,719",68.3
MT,"Golden Valley County, MT",369,352,17,4.6,"38,782",70.2
MT,"Granite County, MT","1,692","1,604",88,5.2,"48,410",87.6
MT,"Hill County, MT","7,669","7,404",265,3.5,"50,136",90.7
MT,"Jefferson County, MT","5,637","5,426",211,3.7,"68,381",123.8
MT,"Judith Basin County, MT",911,881,30,3.3,"50,197",90.9
MT,"Lake County, MT","13,111","12,562",549,4.2,"44,833",81.1
MT,"Lewis and Clark County, MT","35,378","34,223","1,155",3.3,"63,860",115.6
MT,"Liberty County, MT",960,936,24,2.5,"42,742",77.4
MT,"Lincoln County, MT","8,062","7,477",585,7.3,"40,602",73.5
MT,"McCone County, MT",967,949,18,1.9,"43,650",79.0
MT,"Madison County, MT","4,573","4,412",161,3.5,"53,031",96.0
MT,"Meagher County, MT",956,920,36,3.8,"44,572",80.7
MT,"Mineral County, MT","1,717","1,596",121,7.0,"43,458",78.7
MT,"Missoula County, MT","63,147","61,087","2,060",3.3,"56,207",101.7
MT,"Musselshell County, MT","2,279","2,185",94,4.1,"43,371",78.5
MT,"Park County, MT","8,836","8,504",332,3.8,"61,044",110.5
MT,"Petroleum County, MT",281,270,11,3.9,"41,009",74.2
MT,"Phillips County, MT","1,901","1,817",84,4.4,"44,730",81.0
MT,"Pondera County, MT","2,714","2,607",107,3.9,"42,890",77.6
MT,"Powder River County, MT",967,940,27,2.8,"47,378",85.8
MT,"Powell County, MT","2,914","2,796",118,4.0,"48,966",88.6
MT,"Prairie County, MT",487,469,18,3.7,"42,754",77.4
MT,"Ravalli County, MT","19,929","19,110",819,4.1,"50,055",90.6
MT,"Richland County, MT","5,872","5,698",174,3.0,"67,242",121.7
MT,"Roosevelt County, MT","4,466","4,267",199,4.5,"40,179",72.7
MT,"Rosebud County, MT","3,860","3,662",198,5.1,"57,674",104.4
MT,"Sanders County, MT","4,775","4,476",299,6.3,"39,861",72.1
MT,"Sheridan County, MT","1,757","1,717",40,2.3,"51,690",93.6
MT,"Silver Bow County, MT","17,223","16,548",675,3.9,"47,302",85.6
MT,"Stillwater County, MT","4,938","4,773",165,3.3,"66,226",119.9
MT,"Sweet Grass County, MT","1,774","1,721",53,3.0,"52,747",95.5
MT,"Teton County, MT","2,696","2,607",89,3.3,"48,368",87.5
MT,"Toole County, MT","2,128","2,075",53,2.5,"46,326",83.9
MT,"Treasure County, MT",333,324,9,2.7,"50,774",91.9
MT,"Valley County, MT","4,119","3,996",123,3.0,"48,390",87.6
MT,"Wheatland County, MT",800,761,39,4.9,"38,449",69.6
MT,"Wibaux County, MT",465,449,16,3.4,"49,532",89.7
MT,"Yellowstone County, MT","81,536","78,878","2,658",3.3,"59,975",108.6
NE,Nebraska,"1,023,491","993,561","29,930",2.9,"59,724",100.0
NE,"Adams County, NE","16,564","16,069",495,3.0,"55,167",92.4
NE,"Antelope County, NE","3,568","3,479",89,2.5,"55,371",92.7
NE,"Arthur County, NE",221,210,11,5.0,"46,862",78.5
NE,"Banner County, NE",379,365,14,3.7,"53,865",90.2
NE,"Blaine County, NE",261,249,12,4.6,"44,467",74.5
NE,"Boone County, NE","2,911","2,844",67,2.3,"51,911",86.9
NE,"Box Butte County, NE","5,401","5,245",156,2.9,"57,952",97.0
NE,"Boyd County, NE","1,076","1,043",33,3.1,"42,431",71.0
NE,"Brown County, NE","1,389","1,341",48,3.5,"46,191",77.3
NE,"Buffalo County, NE","27,717","27,041",676,2.4,"59,193",99.1
NE,"Burt County, NE","3,463","3,343",120,3.5,"57,548",96.4
NE,"Butler County, NE","4,546","4,436",110,2.4,"57,208",95.8
NE,"Cass County, NE","13,325","12,911",414,3.1,"75,177",125.9
NE,"Cedar County, NE","4,470","4,363",107,2.4,"64,570",108.1
NE,"Chase County, NE","2,275","2,224",51,2.2,"54,866",91.9
NE,"Cherry County, NE","3,334","3,259",75,2.2,"49,782",83.4
NE,"Cheyenne County, NE","4,696","4,561",135,2.9,"53,132",89.0
NE,"Clay County, NE","3,249","3,144",105,3.2,"56,259",94.2
NE,"Colfax County, NE","5,588","5,449",139,2.5,"55,787",93.4
NE,"Cuming County, NE","4,689","4,568",121,2.6,"59,219",99.2
NE,"Custer County, NE","6,418","6,277",141,2.2,"49,995",83.7
NE,"Dakota County, NE","10,676","10,285",391,3.7,"55,522",93.0
NE,"Dawes County, NE","5,019","4,882",137,2.7,"47,487",79.5
NE,"Dawson County, NE","12,934","12,562",372,2.9,"56,818",95.1
NE,"Deuel County, NE",960,931,29,3.0,"47,097",78.9
NE,"Dixon County, NE","3,011","2,916",95,3.2,"54,635",91.5
NE,"Dodge County, NE","19,402","18,845",557,2.9,"51,682",86.5
NE,"Douglas County, NE","294,689","285,210","9,479",3.2,"64,580",108.1
NE,"Dundy County, NE","1,150","1,124",26,2.3,"48,574",81.3
NE,"Fillmore County, NE","3,144","3,063",81,2.6,"56,697",94.9
NE,"Franklin County, NE","1,473","1,427",46,3.1,"48,778",81.7
NE,"Frontier County, NE","1,514","1,474",40,2.6,"43,650",73.1
NE,"Furnas County, NE","2,624","2,554",70,2.7,"49,685",83.2
NE,"Gage County, NE","10,934","10,576",358,3.3,"49,931",83.6
NE,"Garden County, NE","1,182","1,153",29,2.5,"39,192",65.6
NE,"Garfield County, NE","1,163","1,134",29,2.5,"46,245",77.4
NE,"Gosper County, NE","1,058","1,030",28,2.6,"59,722",100.0
NE,"Grant County, NE",419,408,11,2.6,"56,724",95.0
NE,"Greeley County, NE","1,212","1,179",33,2.7,"45,221",75.7
NE,"Hall County, NE","31,872","30,827","1,045",3.3,"53,792",90.1
NE,"Hamilton County, NE","4,744","4,622",122,2.6,"60,608",101.5
NE,"Harlan County, NE","1,771","1,728",43,2.4,"49,321",82.6
NE,"Hayes County, NE",598,585,13,2.2,"47,047",78.8
NE,"Hitchcock County, NE","1,255","1,211",44,3.5,"43,880",73.5
NE,"Holt County, NE","5,742","5,591",151,2.6,"55,965",93.7
NE,"Hooker County, NE",401,386,15,3.7,"46,220",77.4
NE,"Howard County, NE","3,352","3,247",105,3.1,"52,292",87.6
NE,"Jefferson County, NE","4,152","4,046",106,2.6,"47,075",78.8
NE,"Johnson County, NE","2,074","1,998",76,3.7,"52,401",87.7
NE,"Kearney County, NE","3,755","3,675",80,2.1,"64,456",107.9
NE,"Keith County, NE","4,546","4,405",141,3.1,"52,086",87.2
NE,"Keya Paha County, NE",593,580,13,2.2,"48,429",81.1
NE,"Kimball County, NE","2,019","1,963",56,2.8,"46,986",78.7
NE,"Knox County, NE","4,631","4,484",147,3.2,"47,906",80.2
NE,"Lancaster County, NE","174,726","170,079","4,647",2.7,"58,618",98.1
NE,"Lincoln County, NE","18,296","17,729",567,3.1,"56,803",95.1
NE,"Logan County, NE",466,452,14,3.0,"55,531",93.0
NE,"Loup County, NE",398,385,13,3.3,"47,797",80.0
NE,"McPherson County, NE",442,430,12,2.7,"53,207",89.1
NE,"Madison County, NE","19,463","18,956",507,2.6,"55,226",92.5
NE,"Merrick County, NE","3,999","3,883",116,2.9,"56,493",94.6
NE,"Morrill County, NE","2,583","2,511",72,2.8,"49,151",82.3
NE,"Nance County, NE","2,010","1,960",50,2.5,"47,279",79.2
NE,"Nemaha County, NE","3,610","3,482",128,3.5,"52,069",87.2
NE,"Nuckolls County, NE","2,378","2,312",66,2.8,"46,954",78.6
NE,"Otoe County, NE","8,159","7,918",241,3.0,"60,734",101.7
NE,"Pawnee County, NE","1,472","1,434",38,2.6,"45,487",76.2
NE,"Perkins County, NE","1,817","1,781",36,2.0,"57,251",95.9
NE,"Phelps County, NE","4,885","4,771",114,2.3,"59,003",98.8
NE,"Pierce County, NE","4,097","3,986",111,2.7,"57,367",96.1
NE,"Platte County, NE","17,409","16,928",481,2.8,"63,656",106.6
NE,"Polk County, NE","2,894","2,823",71,2.5,"59,815",100.2
NE,"Red Willow County, NE","5,831","5,688",143,2.5,"49,034",82.1
NE,"Richardson County, NE","4,237","4,105",132,3.1,"47,573",79.7
NE,"Rock County, NE",887,865,22,2.5,"48,260",80.8
NE,"Saline County, NE","7,427","7,196",231,3.1,"54,569",91.4
NE,"Sarpy County, NE","94,964","92,307","2,657",2.8,"79,358",132.9
NE,"Saunders County, NE","11,005","10,690",315,2.9,"67,897",113.7
NE,"Scotts Bluff County, NE","18,394","17,777",617,3.4,"50,247",84.1
NE,"Seward County, NE","8,797","8,561",236,2.7,"71,024",118.9
NE,"Sheridan County, NE","2,677","2,607",70,2.6,"43,819",73.4
NE,"Sherman County, NE","1,693","1,647",46,2.7,"47,499",79.5
NE,"Sioux County, NE",741,721,20,2.7,"50,861",85.2
NE,"Stanton County, NE","3,480","3,391",89,2.6,"66,228",110.9
NE,"Thayer County, NE","2,852","2,786",66,2.3,"51,299",85.9
NE,"Thomas County, NE",436,423,13,3.0,"48,275",80.8
NE,"Thurston County, NE","2,975","2,850",125,4.2,"45,405",76.0
NE,"Valley County, NE","2,080","2,018",62,3.0,"48,604",81.4
NE,"Washington County, NE","11,103","10,779",324,2.9,"77,838",130.3
NE,"Wayne County, NE","5,687","5,543",144,2.5,"55,970",93.7
NE,"Webster County, NE","1,645","1,597",48,2.9,"45,058",75.4
NE,"Wheeler County, NE",573,559,14,2.4,"53,369",89.4
NE,"York County, NE","7,301","7,112",189,2.6,"61,478",102.9
NV,Nevada,"1,503,683","1,436,891","66,792",4.4,"58,740",100.0
NV,"Churchill County, NV","11,021","10,598",423,3.8,"58,429",99.5
NV,"Clark County, NV","1,101,978","1,050,577","51,401",4.7,"57,155",97.3
NV,"Douglas County, NV","22,912","21,943",969,4.2,"70,495",120.0
NV,"Elko County, NV","27,453","26,595",858,3.1,"79,134",134.7
NV,"Esmeralda County, NV",424,403,21,5.0,"50,179",85.4
NV,"Eureka County, NV","1,094","1,066",28,2.6,"70,036",119.2
NV,"Humboldt County, NV","8,061","7,791",270,3.3,"72,873",124.1
NV,"Lander County, NV","3,143","3,032",111,3.5,"79,278",135.0
NV,"Lincoln County, NV","2,064","1,974",90,4.4,"55,504",94.5
NV,"Lyon County, NV","22,334","21,138","1,196",5.4,"59,732",101.7
NV,"Mineral County, NV","1,971","1,869",102,5.2,"44,438",75.7
NV,"Nye County, NV","16,705","15,764",941,5.6,"47,031",80.1
NV,"Pershing County, NV","2,579","2,475",104,4.0,"42,522",72.4
NV,"Storey County, NV","1,991","1,905",86,4.3,"68,236",116.2
NV,"Washoe County, NV","249,680","240,837","8,843",3.5,"63,636",108.3
NV,"White Pine County, NV","4,578","4,414",164,3.6,"58,942",100.3
NV,"Carson City, NV","25,697","24,511","1,186",4.6,"56,382",96.0
NH,New Hampshire,"762,758","743,182","19,576",2.6,"75,322",100.0
NH,"Belknap County, NH","31,262","30,462",800,2.6,"64,777",86.0
NH,"Carroll County, NH","23,702","23,092",610,2.6,"59,413",78.9
NH,"Cheshire County, NH","40,727","39,680","1,047",2.6,"60,251",80.0
NH,"Coos County, NH","14,587","14,115",472,3.2,"44,259",58.8
NH,"Grafton County, NH","49,363","48,318","1,045",2.1,"65,163",86.5
NH,"Hillsborough County, NH","238,088","231,744","6,344",2.7,"78,714",104.5
NH,"Merrimack County, NH","82,970","81,104","1,866",2.2,"74,351",98.7
NH,"Rockingham County, NH","185,339","180,155","5,184",2.8,"93,645",124.3
NH,"Strafford County, NH","73,561","71,853","1,708",2.3,"69,919",92.8
NH,"Sullivan County, NH","23,159","22,661",498,2.2,"60,034",79.7
NJ,New Jersey,"4,432,520","4,250,796","181,724",4.1,"81,777",100.0
NJ,"Atlantic County, NJ","118,818","111,885","6,933",5.8,"60,826",74.4
NJ,"Bergen County, NJ","474,700","458,630","16,070",3.4,"100,181",122.5
NJ,"Burlington County, NJ","227,612","219,125","8,487",3.7,"84,470",103.3
NJ,"Camden County, NJ","250,133","238,635","11,498",4.6,"67,135",82.1
NJ,"Cape May County, NJ","45,497","41,687","3,810",8.4,"62,175",76.0
NJ,"Cumberland County, NJ","64,566","60,438","4,128",6.4,"51,790",63.3
NJ,"Essex County, NJ","365,106","346,431","18,675",5.1,"62,875",76.9
NJ,"Gloucester County, NJ","147,928","141,729","6,199",4.2,"81,315",99.4
NJ,"Hudson County, NJ","356,064","342,400","13,664",3.8,"73,337",89.7
NJ,"Hunterdon County, NJ","63,651","61,614","2,037",3.2,"112,335",137.4
NJ,"Mercer County, NJ","198,876","191,729","7,147",3.6,"79,979",97.8
NJ,"Middlesex County, NJ","432,712","417,089","15,623",3.6,"87,666",107.2
NJ,"Monmouth County, NJ","323,777","312,005","11,772",3.6,"99,223",121.3
NJ,"Morris County, NJ","253,482","245,258","8,224",3.2,"112,396",137.4
NJ,"Ocean County, NJ","271,226","259,747","11,479",4.2,"68,483",83.7
NJ,"Passaic County, NJ","239,176","227,105","12,071",5.0,"71,959",88.0
NJ,"Salem County, NJ","28,756","27,198","1,558",5.4,"64,524",78.9
NJ,"Somerset County, NJ","169,154","163,400","5,754",3.4,"119,731",146.4
NJ,"Sussex County, NJ","73,026","70,178","2,848",3.9,"92,284",112.8
NJ,"Union County, NJ","273,348","261,705","11,643",4.3,"80,737",98.7
NJ,"Warren County, NJ","54,912","52,807","2,105",3.8,"77,571",94.9
NM,New Mexico,"938,245","892,331","45,914",4.9,"47,405",100.0
NM,"Bernalillo County, NM","328,200","313,554","14,646",4.5,"51,372",108.4
NM,"Catron County, NM","1,113","1,043",70,6.3,"34,777",73.4
NM,"Chaves County, NM","27,056","25,756","1,300",4.8,"43,527",91.8
NM,"Cibola County, NM","8,897","8,348",549,6.2,"38,097",80.4
NM,"Colfax County, NM","5,481","5,216",265,4.8,"41,592",87.7
NM,"Curry County, NM","21,532","20,677",855,4.0,"47,202",99.6
NM,"De Baca County, NM",763,729,34,4.5,"35,087",74.0
NM,"Dona Ana County, NM","96,182","90,766","5,416",5.6,"38,409",81.0
NM,"Eddy County, NM","31,457","30,421","1,036",3.3,"58,320",123.0
NM,"Grant County, NM","12,254","11,668",586,4.8,"38,341",80.9
NM,"Guadalupe County, NM","1,616","1,528",88,5.4,"29,515",62.3
NM,"Harding County, NM",277,263,14,5.1,"37,544",79.2
NM,"Hidalgo County, NM","2,203","2,121",82,3.7,"39,882",84.1
NM,"Lea County, NM","29,889","28,664","1,225",4.1,"51,656",109.0
NM,"Lincoln County, NM","8,687","8,296",391,4.5,"45,095",95.1
NM,"Los Alamos County, NM","9,076","8,770",306,3.4,"124,947",263.6
NM,"Luna County, NM","10,104","8,919","1,185",11.7,"30,570",64.5
NM,"McKinley County, NM","23,738","22,071","1,667",7.0,"33,976",71.7
NM,"Mora County, NM","2,269","2,132",137,6.0,"34,491",72.8
NM,"Otero County, NM","24,600","23,403","1,197",4.9,"42,701",90.1
NM,"Quay County, NM","3,201","3,049",152,4.7,"33,085",69.8
NM,"Rio Arriba County, NM","16,562","15,709",853,5.2,"41,511",87.6
NM,"Roosevelt County, NM","7,798","7,464",334,4.3,"41,700",88.0
NM,"Sandoval County, NM","65,383","62,184","3,199",4.9,"57,036",120.3
NM,"San Juan County, NM","52,077","49,105","2,972",5.7,"46,578",98.3
NM,"San Miguel County, NM","10,879","10,241",638,5.9,"35,292",74.4
NM,"Santa Fe County, NM","73,904","70,875","3,029",4.1,"60,187",127.0
NM,"Sierra County, NM","4,078","3,796",282,6.9,"31,741",67.0
NM,"Socorro County, NM","6,423","6,088",335,5.2,"33,989",71.7
NM,"Taos County, NM","14,951","13,988",963,6.4,"38,405",81.0
NM,"Torrance County, NM","5,591","5,169",422,7.5,"39,123",82.5
NM,"Union County, NM","1,776","1,718",58,3.3,"40,426",85.3
NM,"Valencia County, NM","30,232","28,604","1,628",5.4,"46,365",97.8
NY,New York,"9,521,869","9,127,699","394,170",4.1,"67,648",100.0
NY,"Albany County, NY","157,520","151,688","5,832",3.7,"64,536",95.4
NY,"Allegany County, NY","19,481","18,390","1,091",5.6,"46,262",68.4
NY,"Bronx County, NY","599,929","565,365","34,564",5.8,"38,566",57.0
NY,"Broome County, NY","84,140","80,039","4,101",4.9,"50,928",75.3
NY,"Cattaraugus County, NY","34,042","32,225","1,817",5.3,"48,017",71.0
NY,"Cayuga County, NY","35,977","34,370","1,607",4.5,"52,945",78.3
NY,"Chautauqua County, NY","54,779","52,019","2,760",5.0,"45,689",67.5
NY,"Chemung County, NY","35,353","33,718","1,635",4.6,"52,565",77.7
NY,"Chenango County, NY","22,327","21,285","1,042",4.7,"50,312",74.4
NY,"Clinton County, NY","36,267","34,677","1,590",4.4,"55,517",82.1
NY,"Columbia County, NY","31,255","30,215","1,040",3.3,"64,916",96.0
NY,"Cortland County, NY","22,856","21,690","1,166",5.1,"51,751",76.5
NY,"Delaware County, NY","19,078","18,153",925,4.8,"47,382",70.0
NY,"Dutchess County, NY","143,632","138,335","5,297",3.7,"79,604",117.7
NY,"Erie County, NY","442,142","422,609","19,533",4.4,"56,375",83.3
NY,"Essex County, NY","17,048","16,222",826,4.8,"54,376",80.4
NY,"Franklin County, NY","19,600","18,591","1,009",5.1,"48,722",72.0
NY,"Fulton County, NY","22,812","21,647","1,165",5.1,"51,388",76.0
NY,"Genesee County, NY","29,731","28,491","1,240",4.2,"58,925",87.1
NY,"Greene County, NY","20,616","19,675",941,4.6,"54,514",80.6
NY,"Hamilton County, NY","2,289","2,132",157,6.9,"59,020",87.2
NY,"Herkimer County, NY","27,796","26,427","1,369",4.9,"53,168",78.6
NY,"Jefferson County, NY","44,493","42,010","2,483",5.6,"52,798",78.0
NY,"Kings County, NY","1,201,389","1,149,779","51,610",4.3,"60,862",90.0
NY,"Lewis County, NY","11,623","10,976",647,5.6,"52,660",77.8
NY,"Livingston County, NY","30,690","29,363","1,327",4.3,"61,027",90.2
NY,"Madison County, NY","32,660","31,097","1,563",4.8,"59,114",87.4
NY,"Monroe County, NY","361,972","346,548","15,424",4.3,"60,240",89.0
NY,"Montgomery County, NY","22,426","21,268","1,158",5.2,"43,799",64.7
NY,"Nassau County, NY","706,551","681,686","24,865",3.5,"115,301",170.4
NY,"New York County, NY","914,163","880,074","34,089",3.7,"84,610",125.1
NY,"Niagara County, NY","99,042","93,855","5,187",5.2,"55,013",81.3
NY,"Oneida County, NY","100,914","96,422","4,492",4.5,"54,096",80.0
NY,"Onondaga County, NY","219,814","211,006","8,808",4.0,"59,786",88.4
NY,"Ontario County, NY","55,381","53,202","2,179",3.9,"62,930",93.0
NY,"Orange County, NY","183,560","176,409","7,151",3.9,"75,048",110.9
NY,"Orleans County, NY","17,534","16,666",868,5.0,"52,658",77.8
NY,"Oswego County, NY","52,741","49,855","2,886",5.5,"53,745",79.4
NY,"Otsego County, NY","28,037","26,815","1,222",4.4,"54,321",80.3
NY,"Putnam County, NY","51,073","49,190","1,883",3.7,"100,887",149.1
NY,"Queens County, NY","1,141,830","1,100,018","41,812",3.7,"68,432",101.2
NY,"Rensselaer County, NY","81,191","78,026","3,165",3.9,"71,084",105.1
NY,"Richmond County, NY","222,771","213,493","9,278",4.2,"79,719",117.8
NY,"Rockland County, NY","154,449","148,705","5,744",3.7,"88,960",131.5
NY,"St. Lawrence County, NY","43,382","40,950","2,432",5.6,"49,356",73.0
NY,"Saratoga County, NY","119,110","114,911","4,199",3.5,"83,210",123.0
NY,"Schenectady County, NY","76,165","73,107","3,058",4.0,"63,297",93.6
NY,"Schoharie County, NY","14,624","13,917",707,4.8,"57,757",85.4
NY,"Schuyler County, NY","8,226","7,804",422,5.1,"50,190",74.2
NY,"Seneca County, NY","16,092","15,471",621,3.9,"54,184",80.1
NY,"Steuben County, NY","42,613","40,507","2,106",4.9,"54,862",81.1
NY,"Suffolk County, NY","776,558","746,685","29,873",3.8,"100,075",147.9
NY,"Sullivan County, NY","35,927","34,454","1,473",4.1,"51,985",76.8
NY,"Tioga County, NY","22,868","21,869",999,4.4,"60,309",89.2
NY,"Tompkins County, NY","50,016","48,205","1,811",3.6,"57,383",84.8
NY,"Ulster County, NY","88,268","84,817","3,451",3.9,"63,073",93.2
NY,"Warren County, NY","31,528","30,059","1,469",4.7,"56,694",83.8
NY,"Washington County, NY","27,938","26,774","1,164",4.2,"55,913",82.7
NY,"Wayne County, NY","43,774","41,958","1,816",4.1,"61,118",90.3
NY,"Westchester County, NY","482,058","463,315","18,743",3.9,"94,521",139.7
NY,"Wyoming County, NY","17,969","17,135",834,4.6,"57,709",85.3
NY,"Yates County, NY","11,784","11,339",445,3.8,"51,089",75.5
NC,North Carolina,"4,986,138","4,787,719","198,419",4.0,"53,922",100.0
NC,"Alamance County, NC","80,858","77,779","3,079",3.8,"50,480",93.6
NC,"Alexander County, NC","17,946","17,370",576,3.2,"49,138",91.1
NC,"Alleghany County, NC","4,314","4,117",197,4.6,"39,735",73.7
NC,"Anson County, NC","10,418","9,950",468,4.5,"38,023",70.5
NC,"Ashe County, NC","12,701","12,239",462,3.6,"41,864",77.6
NC,"Avery County, NC","7,598","7,318",280,3.7,"41,701",77.3
NC,"Beaufort County, NC","19,681","18,768",913,4.6,"46,411",86.1
NC,"Bertie County, NC","7,837","7,447",390,5.0,"35,433",65.7
NC,"Bladen County, NC","14,379","13,613",766,5.3,"36,976",68.6
NC,"Brunswick County, NC","53,185","50,347","2,838",5.3,"60,163",111.6
NC,"Buncombe County, NC","138,995","134,810","4,185",3.0,"53,960",100.1
NC,"Burke County, NC","40,838","39,348","1,490",3.6,"44,946",83.4
NC,"Cabarrus County, NC","107,083","103,182","3,901",3.6,"69,297",128.5
NC,"Caldwell County, NC","36,395","34,981","1,414",3.9,"43,328",80.4
NC,"Camden County, NC","4,706","4,529",177,3.8,"65,955",122.3
NC,"Carteret County, NC","31,892","30,498","1,394",4.4,"55,052",102.1
NC,"Caswell County, NC","9,828","9,392",436,4.4,"45,517",84.4
NC,"Catawba County, NC","78,670","75,869","2,801",3.6,"53,738",99.7
NC,"Chatham County, NC","35,108","33,913","1,195",3.4,"73,703",136.7
NC,"Cherokee County, NC","11,268","10,762",506,4.5,"41,262",76.5
NC,"Chowan County, NC","5,584","5,334",250,4.5,"42,618",79.0
NC,"Clay County, NC","4,124","3,943",181,4.4,"42,878",79.5
NC,"Cleveland County, NC","47,897","45,986","1,911",4.0,"42,728",79.2
NC,"Columbus County, NC","22,371","21,245","1,126",5.0,"36,862",68.4
NC,"Craven County, NC","41,529","39,757","1,772",4.3,"50,748",94.1
NC,"Cumberland County, NC","127,620","120,964","6,656",5.2,"46,779",86.8
NC,"Currituck County, NC","13,997","13,493",504,3.6,"64,426",119.5
NC,"Dare County, NC","19,965","18,934","1,031",5.2,"64,768",120.1
NC,"Davidson County, NC","80,401","77,434","2,967",3.7,"47,758",88.6
NC,"Davie County, NC","20,541","19,829",712,3.5,"60,801",112.8
NC,"Duplin County, NC","25,041","23,955","1,086",4.3,"42,725",79.2
NC,"Durham County, NC","168,760","162,760","6,000",3.6,"59,329",110.0
NC,"Edgecombe County, NC","21,498","20,015","1,483",6.9,"38,818",72.0
NC,"Forsyth County, NC","186,902","179,681","7,221",3.9,"50,112",92.9
NC,"Franklin County, NC","30,761","29,510","1,251",4.1,"57,710",107.0
NC,"Gaston County, NC","109,078","104,754","4,324",4.0,"52,798",97.9
NC,"Gates County, NC","5,318","5,103",215,4.0,"51,746",96.0
NC,"Graham County, NC","3,182","2,995",187,5.9,"39,502",73.3
NC,"Granville County, NC","29,971","28,941","1,030",3.4,"58,956",109.3
NC,"Greene County, NC","9,533","9,163",370,3.9,"43,591",80.8
NC,"Guilford County, NC","262,078","251,040","11,038",4.2,"52,166",96.7
NC,"Halifax County, NC","20,183","18,949","1,234",6.1,"36,760",68.2
NC,"Harnett County, NC","52,879","50,382","2,497",4.7,"51,225",95.0
NC,"Haywood County, NC","29,653","28,640","1,013",3.4,"47,183",87.5
NC,"Henderson County, NC","54,525","52,734","1,791",3.3,"54,012",100.2
NC,"Hertford County, NC","9,127","8,664",463,5.1,"38,216",70.9
NC,"Hoke County, NC","20,109","19,088","1,021",5.1,"47,892",88.8
NC,"Hyde County, NC","2,016","1,849",167,8.3,"40,653",75.4
NC,"Iredell County, NC","87,854","84,645","3,209",3.7,"60,044",111.4
NC,"Jackson County, NC","19,553","18,728",825,4.2,"44,502",82.5
NC,"Johnston County, NC","97,395","93,823","3,572",3.7,"60,296",111.8
NC,"Jones County, NC","4,382","4,196",186,4.2,"43,302",80.3
NC,"Lee County, NC","26,506","25,339","1,167",4.4,"48,984",90.8
NC,"Lenoir County, NC","27,871","26,768","1,103",4.0,"40,433",75.0
NC,"Lincoln County, NC","42,638","41,153","1,485",3.5,"62,963",116.8
NC,"McDowell County, NC","21,117","20,395",722,3.4,"43,972",81.5
NC,"Macon County, NC","15,356","14,748",608,4.0,"46,426",86.1
NC,"Madison County, NC","10,071","9,701",370,3.7,"44,693",82.9
NC,"Martin County, NC","9,288","8,822",466,5.0,"43,569",80.8
NC,"Mecklenburg County, NC","611,032","587,780","23,252",3.8,"64,509",119.6
NC,"Mitchell County, NC","6,027","5,755",272,4.5,"43,967",81.5
NC,"Montgomery County, NC","11,533","11,068",465,4.0,"47,757",88.6
NC,"Moore County, NC","41,079","39,495","1,584",3.9,"59,471",110.3
NC,"Nash County, NC","43,392","41,167","2,225",5.1,"50,122",93.0
NC,"New Hanover County, NC","121,248","116,583","4,665",3.8,"53,419",99.1
NC,"Northampton County, NC","7,634","7,243",391,5.1,"37,233",69.0
NC,"Onslow County, NC","64,334","61,202","3,132",4.9,"50,531",93.7
NC,"Orange County, NC","77,614","75,056","2,558",3.3,"71,920",133.4
NC,"Pamlico County, NC","5,324","5,102",222,4.2,"46,447",86.1
NC,"Pasquotank County, NC","17,019","16,201",818,4.8,"46,355",86.0
NC,"Pender County, NC","28,260","27,071","1,189",4.2,"54,900",101.8
NC,"Perquimans County, NC","5,024","4,780",244,4.9,"48,337",89.6
NC,"Person County, NC","18,158","17,398",760,4.2,"50,149",93.0
NC,"Pitt County, NC","89,552","85,686","3,866",4.3,"43,303",80.3
NC,"Polk County, NC","8,950","8,609",341,3.8,"50,467",93.6
NC,"Randolph County, NC","66,085","63,576","2,509",3.8,"48,372",89.7
NC,"Richmond County, NC","16,547","15,637",910,5.5,"38,514",71.4
NC,"Robeson County, NC","49,714","46,772","2,942",5.9,"35,407",65.7
NC,"Rockingham County, NC","40,109","38,259","1,850",4.6,"41,869",77.6
NC,"Rowan County, NC","64,986","62,368","2,618",4.0,"46,864",86.9
NC,"Rutherford County, NC","24,793","23,520","1,273",5.1,"42,831",79.4
NC,"Sampson County, NC","29,282","28,096","1,186",4.1,"42,807",79.4
