State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
AR,"Drew County, AR","7,847","7,468",379,4.8,"42,494",90.2
AR,"Faulkner County, AR","62,050","60,058","1,992",3.2,"53,882",114.4
AR,"Franklin County, AR","7,385","7,125",260,3.5,"43,696",92.8
AR,"Fulton County, AR","4,823","4,632",191,4.0,"35,630",75.7
AR,"Garland County, AR","40,826","39,199","1,627",4.0,"43,610",92.6
AR,"Grant County, AR","8,335","8,079",256,3.1,"52,050",110.5
AR,"Greene County, AR","19,849","19,165",684,3.4,"46,512",98.8
AR,"Hempstead County, AR","9,951","9,607",344,3.5,"38,682",82.1
AR,"Hot Spring County, AR","13,967","13,447",520,3.7,"47,205",100.2
AR,"Howard County, AR","5,907","5,706",201,3.4,"40,199",85.4
AR,"Independence County, AR","16,301","15,648",653,4.0,"45,596",96.8
AR,"Izard County, AR","4,874","4,610",264,5.4,"37,828",80.3
AR,"Jackson County, AR","5,784","5,437",347,6.0,"36,573",77.7
AR,"Jefferson County, AR","28,045","26,595","1,450",5.2,"38,596",82.0
AR,"Johnson County, AR","10,401","9,932",469,4.5,"39,381",83.6
AR,"Lafayette County, AR","2,492","2,365",127,5.1,"35,527",75.4
AR,"Lawrence County, AR","6,826","6,562",264,3.9,"40,308",85.6
AR,"Lee County, AR","2,903","2,765",138,4.8,"28,080",59.6
AR,"Lincoln County, AR","4,013","3,843",170,4.2,"44,951",95.4
AR,"Little River County, AR","5,465","5,182",283,5.2,"43,559",92.5
AR,"Logan County, AR","8,744","8,397",347,4.0,"41,471",88.1
AR,"Lonoke County, AR","34,206","33,131","1,075",3.1,"56,651",120.3
AR,"Madison County, AR","7,351","7,140",211,2.9,"42,674",90.6
AR,"Marion County, AR","6,497","6,231",266,4.1,"36,581",77.7
AR,"Miller County, AR","19,535","18,602",933,4.8,"42,162",89.5
AR,"Mississippi County, AR","17,358","16,386",972,5.6,"36,718",78.0
AR,"Monroe County, AR","2,743","2,629",114,4.2,"32,922",69.9
AR,"Montgomery County, AR","3,055","2,912",143,4.7,"38,318",81.4
AR,"Nevada County, AR","3,649","3,524",125,3.4,"37,626",79.9
AR,"Newton County, AR","3,305","3,195",110,3.3,"36,078",76.6
AR,"Ouachita County, AR","9,767","9,323",444,4.5,"37,624",79.9
AR,"Perry County, AR","4,248","4,075",173,4.1,"45,342",96.3
AR,"Phillips County, AR","6,580","6,185",395,6.0,"29,945",63.6
